season,Equipo,Puntos F1GOAT (Temporada),puntos_total,factor,gps_disputados
2025,Red Bull Racing,75.52,113.28,0.6666666666666666,15
2024,Alpine,67.813,162.75,0.4166697388632873,24
2024,Ferrari,82.225,197.34,0.41666666666666663,24
1950,Ewing,55.2,5.52,10.000000000000002,1
1950,Langley,54.0,5.4,10.0,1
1951,Bromme,44.4,4.44,9.999999999999998,1
1951,Alta,63.0,6.3,10.0,1
1953,Lesovsky,46.8,4.68,10.0,1
1953,OSCA,58.8,11.760000000000002,4.999999999999999,2
1954,Klenk,62.4,6.24,10.0,1
1954,Lancia,66.6,6.66,9.999999999999998,1
1956,Kuzma,59.28,5.928,10.0,1
1957,Epperly,76.5,7.65,10.0,1
1958,Ferrari,79.73,79.73000000000002,0.9999999999999998,10
1958,Connaught,58.8,5.88,10.0,1
1962,Cooper,67.8,6.78,10.0,1
1963,Lola,64.347,64.34700000000001,0.9999999999999998,10
1963,Lotus-Maserati,35.0,3.5,10.0,1
1963,LDS,62.7,6.27,10.000000000000002,1
1964,Derrington,61.2,6.12,10.0,1
1965,Ferrari,76.887,76.887,1.0,10
1966,Brabham-BRM,69.48,34.739999999999995,2.0000000000000004,5
1967,Brabham-Ford,71.4,7.14,10.000000000000002,1
1968,McLaren-Ford,78.409,86.25000000000001,0.9090898550724636,11
1969,BRM-Ford,72.6,7.26,10.0,1
1970,Matra,74.446,96.77999999999999,0.7692291795825584,13
1970,Team Lotus,71.209,92.572,0.7692282763686644,13
1972,Tyrrell,75.333,90.4,0.8333296460176991,12
1972,Politoys,47.4,4.74,10.0,1
1976,Brabham-Ford,56.325,22.53,2.5,4
1977,Ensign,68.065,115.71000000000001,0.5882378359692334,17
1977,McLaren,73.153,124.36000000000001,0.5882357671276938,17
1977,Hesketh,61.433,73.72,0.8333288117200217,12
1978,Ferrari,76.519,122.42999999999998,0.6250020419831742,16
1979,Arrows,65.38,98.07,0.6666666666666666,15
